,Name,Title,CF Standard Name,Units,UID,Provenance,Name Validation,Status,CMOR Variables,Description,is alias (from CF Standard Name),Created,Last Modified By,Atmosphere team review status,Tagged author team,Data protection consent,Proposer name,Proposer email,Justification for inclusion,Atmosphere team review status copy 4,Processing Note,Proposed CF Standard Name,Proposed CF Standard Name Description,Processing Comment,Atmosphere review comments copy,Comments,Edited by author teams,Atmosphere team review status copy 2,Atmosphere team review status copy 5,Atmosphere team review status copy 6,Atmosphere review comments,CF Standard Name Proposal Accepted
recu4S1vCX2gSCy4o,dryso4,Dry Deposition Rate of SO4,minus_tendency_of_atmosphere_mass_content_of_sulfate_dry_aerosol_particles_due_to_dry_deposition,kg m-2 s-1,1e4b4b00e55243dc7815c0ffc015faee,CCMI1_monthly,1,Existing physical parameter,['recftycnU5eweCtW7'],"Dry Deposition includes gravitational settling and turbulent deposition
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuA6bcg9vWfsNML,siflcondtop,Net Conductive Heat Flux in Ice at the Surface,surface_downward_heat_flux_in_sea_ice,W m-2,590ecbda-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,"['rect2OjN3bLWtOeUb', 'recO0TjGRNzVLgBBo']","the net heat conduction flux at the ice surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,dr-oceans,,,,,,,,['si'],,,,,,True,,,,,
recuFNCYh3A49nSEw,sconcdust,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,kg m-3,1ca290c839426f31f70a0d2862e1c611,CMIP5_aero,1,Existing physical parameter,['recQc37clznqjOO07'],"mass concentration of dust dry aerosol in air in model lowest layer
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['nsrf'],,,,,,,,,,,
recuGgtrZciS10DtZ,dtaus,Stratiform Cloud Optical Depth,atmosphere_optical_thickness_due_to_stratiform_cloud,1,ffa75c4442ad340cb0cdeb11aa19f044,CMIP5_CF3hr,1,Existing physical parameter,"['reckCu2K6xadhtzjl', 'recTrSH5tj4xMRYR4']","This is the in-cloud optical depth obtained by considering only the cloudy portion of the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuIDTVOpBnpTYeQ,emiach4,Anthropogenic emission rate of CH4,tendency_of_atmosphere_mass_content_of_methane_due_to_emission,kg m-2 s-1,,,1,Under review,['recL3ZR1JtM1gGXU1'],,0 checked out of 1,2024-08-29T15:37:08.000Z,Beth Dingley,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"To calculate methane budgets in new methane emissions-driven modelling capability
",,,,,,,,,,,,,
recuJTCE2qXDBbQAd,zg1000,Geopotential Height at 1000hPa,geopotential_height,m,a36df015f59d91b021f2534321986440,CCMI1_daily,1,Existing physical parameter,"['recv1BfqpbqLNSwlQ', 'reca61NxQFHP1zq95']","Geopotential height on the 1000 hPa surface
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuJu1CDxAZ4QGpE,fProductDecompLut,Net Carbon Mass Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_forestry_and_agricultural_products,kg m-2 s-1,3f3074ee-b89b-11e6-be04-ac72891c3257,CMIP6 [LUMIP],1,Existing physical parameter,['recSnj2N9Y2mjaN1n'],"Flux of CO2 from product pools into the atmosphere. Examples of ""forestry and agricultural products"" are paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock. Models that simulate land use changes have one or more pools of carbon that represent these products in order to conserve carbon and allow its eventual release into the atmosphere, for example, when the products decompose in landfill sites. Produce this variable i  a model has explicit anthropogenic product pools by land use tile
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuKNa1h0BYQ2v03,licalvf,Land Ice Calving Flux,land_ice_specific_mass_flux_due_to_calving,kg m-2 s-1,590e4e58-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [ISMIP6],1,Existing physical parameter,"['recY8BCxZIBIIMzX3', 'rectx8BMq0oH7qo2x', 'recgBrwb8SS8gotA5', 'recFaJmL3wSixyutY']","Loss of ice mass resulting from iceberg calving. Computed as the rate of mass loss by the ice shelf (in kg s-1) divided by the horizontal area of the ice sheet (m2) in the grid box.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuLj7oOEeiduP3a,treeFrac,Tree Cover Percentage,area_fraction,%,d3eb8c36759afa5ef2c8363e0c16db88,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,"['reciggDMxMuAk3CT6', 'rec27qf381iJ8AuY8']","Percentage of entire grid cell  that is covered by trees.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuTVRdTH9CJWoS2,soga,Global Mean Sea Water Salinity,sea_water_salinity,1,e6c345fa8ddd98d9834116333c2ee901,OMIP.Omon,1,Existing physical parameter,"['recTCyzEl0USWVkwI', 'recavvMjdFU5o8Nra']","Sea water salinity is the salt content of sea water, often on the Practical Salinity Scale of 1978. However, the unqualified term 'salinity' is generic and does not necessarily imply any particular method of calculation. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. 
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuXMHek0pqYZrB7,albsn,Snow Albedo,surface_albedo,1,590e12ee-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,"['recJym11ptzQ8nPpw', 'recIi8LprJne3ABAO']","Albedo of the snow-covered surface, averaged over the grid cell.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuYI2egFSacZ4v0,difvho,Ocean Vertical Heat Diffusivity,ocean_vertical_heat_diffusivity,m2 s-1,120719dde7f96f9bc088acd33b97967f,OMIP_Oyr,1,Existing physical parameter,"['recSY4koCwBvu4SCj', 'rec14HzaYidUCtpMR']","Vertical/dianeutral diffusivity applied to prognostic temperature field.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recubsy0KLlkhzjlA,phabio,Abiotic pH,sea_water_ph_abiotic_analogue_reported_on_total_scale,1,c977c2da-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,"['recpyt9W00jHo3Rgx', 'recZIR2qGtfxDNS8w']","negative log10 of hydrogen ion concentration with the concentration expressed as mol H kg-1 (abiotic component)..
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recudbtgXLjlUFVdW,rootdsl,Root Distribution,root_mass_content_of_carbon,kg m-2,71249bb8-c7b6-11e6-bb2a-ac72891c3257,CMIP6 [LS3MIP],1,Existing physical parameter,['recvzHuPMP5KZqb7f'],"Mass of carbon in roots.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recudmm973fir1EXS,tauunogw,Westward Reynolds stress from non-orographic gravity wave parameterization,,Pa,,,1,Under review,"['recn5xADVHvVFJqkz', 'recM751gnxTnyb1IR']",,,2024-09-05T10:18:30.000Z,Data Request co-leads,In progress,['Atmosphere'],True,DynVarMIP,petr.sacha@matfyz.cuni.cz,"Gravity wave momentum fluxes are the key quantity within the gravity wave parameterization schemes. Their divergence results to the drag on the background flow. Also, they are much easier comparable to observations than the drags themselves.
",,,Westward Reynolds stress from non-orographic gravity wave parameterization,https://github.com/cf-convention/vocabularies/issues/217,,,,,,,,,
recugjsJbPKxvk1RJ,nLand,Total Nitrogen in All Terrestrial Nitrogen Pools,mass_content_of_nitrogen_in_vegetation_and_litter_and_soil_and_forestry_and_agricultural_products,kg m-2,59142e0e-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['reczHIn3e2KdezUfg'],"Report missing data over ocean grid cells. For fractional land report value averaged over the land fraction.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuhzRBtVcrdL0Km,taUTLS,"'6 hourly instantaneous air temperature at 3 pressure levels in the UTLS region (150, 200, and 250 hPa) '",air_temperature,K,,,1,Under review,['recfhfWEW6DrgVcvI'],,0 checked out of 1,2024-09-13T17:57:37.000Z,Beth Dingley,,['Impacts & Adaptation'],True,Impacts and Adaptation,paula.gonzalez@metoffice.gov.uk,"Variable requested for aviation impacts. Needed to diagnose clear air turbulence.
",In progress,,,,,,,,,,,,
recuvg6nF439VV3EZ,noy,Total Reactive Nitrogen Volume Mixing Ratio,mole_fraction_of_noy_expressed_as_nitrogen_in_air,mol mol-1,e29fbc42-b095-11e6-aab6-ac72891c3257,CMIP6 Endorsement [AerChemMIP],1,Existing physical parameter,['recCefzRfHTFr7jp2'],"Total family (the sum of all appropriate species in the model); list the species in the netCDF header, e.g. NOy = N + NO + NO2 + NO3 + HNO3 + 2N2O5 + HNO4 + ClONO2 + BrONO2 Definition: Total reactive nitrogen; usually includes atomic nitrogen (N), nitric oxide (NO), NO2, nitrogen trioxide (NO3), dinitrogen radical (N2O5), nitric acid (HNO3), peroxynitric acid (HNO4), BrONO2, ClONO2 add comment attribute with detailed description about how the model calculates these fields
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuy2kDCgOvNV5oe,zhalfo,Depth Below Geoid of Interfaces Between Ocean Layers,depth_below_geoid,m,e4f788872546d474c64f89798a4cb8cb,OMIP.Omon,1,Existing physical parameter,"['recgcjRh3AUDU1Qep', 'reciM8qkPkwHOfwy0']","Depth below geoid
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recuywpoMCXPHcbBC,expsi,Sinking Particulate Silicon Flux,sinking_mole_flux_of_particulate_silicon_in_sea_water,mol m-2 s-1,236430ceeb7aa3d23577b3a03d13f7fb,"CMIP5,C4MIP,HighResMIP,LS3MIP,PMIP",1,Existing physical parameter,"['recZ6ZNtd2Pk6Gy2T', 'recUIuZbEFKtQ8AgA']","In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recv3FomGuYmqoeuC,vmrox,"Mole Fraction of Odd Oxygen (O, O3 and O1D)",mole_fraction_of_ox_in_air,mol mol-1,e51c1fc2-00a7-11e6-a8a4-5404a60d96b5,CMIP6 endorsement [DAMIP],1,Existing physical parameter,['rec6v24OBdb6uB0vO'],"Mole Fraction of Ox
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recv5JivlAGvnht7s,od550bb,Aerosol Optical Depth at 550nm Due to Biomass Burning,atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles,1,a0c10a4b65d3b79db581a649058a08b1,CCMI1_monthly,1,Existing physical parameter,['recxsIHMTrk7t3440'],"total organic aerosol AOD due to biomass burning (excluding so4, nitrate BB components)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvACl6ELEUfkrwn,photo1d,"Photolysis Rate of Ozone (O3) to Excited Atomic Oxygen (the Singlet D State, O1D)",photolysis_rate_of_ozone_to_1D_oxygen_atom,s-1,a2609abee6ecd5d535a48e29ae70e852,CCMI1_monthly,1,Existing physical parameter,['recZP2Spbre2UqdaY'],"proposed name: photolysis\_rate\_of\_ozone\_to\_O1D
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvDSSDF5RyJGvID,orog,Surface Altitude,surface_altitude,m,00e77372e8b909d9a827a0790e991fd9,"CCMI1_annual,CCMI1_daily,CCMI1_fixed,CCMI1_hourly,CCMI1_monthly,CMIP5_6hrLev,CMIP5_Amon,CMIP5_aero,CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFmon,CMIP5_CFsubhr,CORDEX_fx,PMIP3_Aclim,PMIP3_Amon,SPECS_6hr,SPECS_Amon",1,Existing physical parameter,"['recLwClNJ40EE8guG', 'recHvHV6YRsdAGoDu', 'recQJJ74HU2uGHyBj', 'recyYqwatSQ1XI36A', 'recKPqmRq8S5xzsRJ', 'rec7PDkGCabphJLIu']","The surface called ""surface"" means the lower boundary of the atmosphere. Altitude is the (geometric) height above the geoid, which is the reference geopotential surface. The geoid is similar to mean sea level.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvDUey8vdJ8D5IA,sisnmass,Snow Mass per Area,surface_snow_amount,kg m-2,5914a6b8-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [SIMIP],1,Existing physical parameter,['recj4KshHKz5YVb0L'],"Total mass of snow on sea ice divided by sea-ice area.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,['si'],,,,,Changing parameter's CF standard name to surface_snow_amount,True,,,,,
recvEKOA05clffwuq,rlntds,Surface Net Downward Longwave Radiation,surface_net_downward_longwave_flux,W m-2,b16fab4e82317586d4bc72d786a6a1db,OMIP,1,Existing physical parameter,['recHl9Cjeej5eJyqh'],"This is defined as ""where ice\_free\_sea over sea""
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvFin5xXtXwzZy5,opottempmint,Integral with Respect to Depth of Product of Sea Water Density and Potential Temperature,integral_wrt_depth_of_product_of_potential_temperature_and_sea_water_density,degC kg m-2,59133ddc-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [FAFMIP],1,Existing physical parameter,"['recovDdjXagyNYuJ0', 'recBOauO21RY9g2HK']","Integral over the full ocean depth of the product of sea water density and potential temperature.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvJSYjAw6f0PcVt,dryo3,Dry Deposition Rate of O3,minus_tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition,kg m-2 s-1,88cfa07efc9539cfb8c465a664f63e55,CCMI1_monthly,1,Existing physical parameter,['recg59bgQ3C2R8lJ3'],"Dry Deposition includes gravitational settling and turbulent deposition.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvLXDQnZ8FRYy2Y,psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,3d23c359f44d6a153c4dcab9e07d7cb6,"CMIP5_6hrPlev,CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFsubhr,CMIP5_day,CORDEX_3h,CORDEX_day,CORDEX_mon,CORDEX_sem,PMIP3_Aclim,PMIP3_Amon,PMIP3_day,SPECS_6hr,SPECS_Amon,SPECS_day",1,Existing physical parameter,"['recUt792XeRVe26Vy', 'recVXppjza4qBEw4F', 'rec0BlnLhgJVIYqAs', 'recfB6fVCRsju6yCD', 'recKeq7mnvwJZLKqf', 'rec7sL4nwHF7SrSqt', 'reciM4vejOE282ngP', 'recwXWGTzLXUcAW4s']","Sea Level Pressure
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvLgYBaXycyL4PQ,fgdms,Surface Upward Flux of DMS,surface_upward_mole_flux_of_dimethyl_sulfide,mol m-2 s-1,190f38cb06f9a1f3133c3dcf66e0421e,"CMIP5_Omon,PMIP3_Oclim,PMIP3_Omon",1,Existing physical parameter,['recfBxE5BqrYpRaqf'],"Gas exchange flux of DMS (positive into atmosphere)
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvTStcCr8HPEHCh,rsutch4ref,Top of atmosphere shortwave outgoing radiation from a diagnostic call with a reference methane field,,W m-2,,,1,Under review,['recM4KBvC6hFCpnxv'],,,2024-08-29T15:13:47.000Z,Data Request co-leads,In progress,['Atmosphere'],True,Atmosphere,fiona.oconnor@metoffice.gov.uk,"For use in calculating instantaneous radiative forcing by methane
",,,toa_outgoing_shortwave_flux_assuming_reference_mole_fraction_of_methane_in_air,https://github.com/cf-convention/vocabularies/issues/213,,"CF name marked for acceptance (26th Sept)
",,,,,,,
recvTZquTSs7amhOF,hflso,Surface Downward Latent Heat Flux,surface_downward_latent_heat_flux,W m-2,ad2c59f6784b7b6a8b2a95424a1a642d,CMIP5_Omon,1,Existing physical parameter,['recRYKcOo2couK3WF'],"This is defined as with the cell methods string: where ice\_free\_sea over sea
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvTrh3pD4i5uA5O,dmlt,Depth to Soil Thaw,depth_at_shallowest_isotherm_defined_by_soil_temperature,m,590d8fc2-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recQCmIiPFQ0fqeKT'],"Depth from surface to the zero degree isotherm. Above this isotherm T > 0o, and below this line T < 0o. Missing if surface is frozen or if soil is unfrozen at all depths.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvaHxMmAQbDKafP,drynoy,Dry Deposition Rate of NOy,minus_tendency_of_atmosphere_mass_content_of_noy_expressed_as_nitrogen_due_to_dry_deposition,kg m-2 s-1,f4e5c381e643cd68d3104cf75cc675bd,CCMI1_monthly,1,Existing physical parameter,"['rec62jO81p2JiS08M', 'reckphAO7uJS78jdv', 'recxDfOsl12pcBEov']","NOy is the sum of all simulated oxidized nitrogen species out of NO, NO2, HNO3, HNO4, NO3 aerosol, NO3(radical), N2O5, PAN, other organic nitrates. Dry deposition includes gravitational settling and turbulent deposition.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvbuPofrWJBr4ZX,clhcalipso,CALIPSO High Level Cloud Area Percentage,cloud_area_fraction_in_atmosphere_layer,%,7308096ae00ff52340909b2a59415f82,"CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFmon,CMIP5_CFsubhrOff",1,Existing physical parameter,"['recULjIGgMshbTabi', 'recU0UhVzMjHtUDVh', 'recC7Ny36MGMr6DCn']","Percentage cloud cover in layer centred on 220hPa
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recveltqGec1qChvh,cVeg,Carbon Mass in Vegetation,vegetation_carbon_content,kg m-2,3434c274f8ad8754f594d2b23c2d37db,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,"['recSxDg7SqRQ0ODyd', 'rec6hFOx81czaSU3n']","Carbon mass per unit area in vegetation.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recveqfoZyBuqXZbW,nppLeaf,Net Primary Production Allocated to Leaves as Carbon Mass Flux [kgC m-2 s-1],net_primary_productivity_of_biomass_expressed_as_carbon_accumulated_in_leaves,kg m-2 s-1,df06d844bd95ddd2f0f62f54941c4b88,"CMIP5_Lmon,PMIP3_Lclim,PMIP3_Lmon,SPECS_Lmon",1,Existing physical parameter,['recCrx9tsBAGOmDbL'],"This is the rate of carbon uptake by leaves due to NPP
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvg4cIcH0M651Pw,mrso,Total Soil Moisture Content,mass_content_of_water_in_soil,kg m-2,af574f1ac4a9f44a2d943352a455cfeb,CMIP5_Lmon,1,Existing physical parameter,"['rec20tSZmP5F1uc4a', 'recLthEOZlWcwokn5']","the mass per unit area  (summed over all soil layers) of water in all phases.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvmmLsox0CPKELn,rldscs,Surface Downwelling Clear-Sky Longwave Radiation,surface_downwelling_longwave_flux_in_air_assuming_clear_sky,W m-2,7b2d1e1a3ece1169d8ac61af4b758ed2,"CMIP5_Amon,CMIP5_CF3hr,CMIP5_CFday,CMIP5_CFsubhr,PMIP3_Aclim,PMIP3_Amon",1,Existing physical parameter,"['reckCb2zcK9UEq094', 'recp8BJF7cf8nSmer', 'recfd3nM4DlAgJaam', 'recEVBfGIoAojay5g', 'recclSOjXoo1d1CgY']","Surface downwelling clear-sky longwave radiation
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvuta34WZvd6FFW,reffsnows,Hydrometeor Effective Radius of Stratiform Snowfall,effective_radius_of_stratiform_cloud_snow_particles,m,3723cf3c0aef7741d065625c75d34d9a,CMIP5_CF3hr,1,Existing physical parameter,['recI8gX7jMPJEd7q7'],"This is defined as the in-cloud ratio of the third moment over the second moment of the particle size distribution (obtained by considering only the cloudy portion of the grid cell).
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvuyaTMxCww4ZJq,expn,Sinking Particulate Organic Nitrogen Flux,sinking_mole_flux_of_particulate_organic_nitrogen_in_sea_water,mol m-2 s-1,6fc1dd9341ca569ad866695db9878618,"CMIP5,C4MIP,HighResMIP,LS3MIP",1,Existing physical parameter,"['recVlqQnWVYV1Q1TL', 'recILXtrRa4R62603']","In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.   'Sinking' is the gravitational settling of particulate matter suspended in a liquid. A sinking flux is positive downwards and is calculated relative to the movement of the surrounding fluid.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvzc4mX7NroJ8tJ,cldncl,Cloud Droplet Number Concentration of Cloud Tops,number_concentration_of_cloud_liquid_water_particles_in_air_at_liquid_water_cloud_top,m-3,069ed8a3f93e92dab9e61f59b4d5338e,CMIP5_aero,1,Existing physical parameter,['rec5H0dDqtRG4tfbL'],"Droplets are liquid only.  Report concentration 'as seen from space' over liquid cloudy portion of grid cell.  This is the value from uppermost model layer with liquid cloud or, if available, it is better to sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere. Weight by total liquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recvzteipWn3yq8CU,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,95cbf6ac889c8fe7d92e20e8c34960d1,CMIP5_Amon,1,Existing physical parameter,"['recuAoSMQDpPozjbW', 'recM1mCR1k05qZSUQ', 'recVM1GTPXKp0nqDV', 'rec4GX6LJrFwWrc1W', 'recSVQ5GJbbieka5z', 'rechbeOxmu8aOkJsk', 'recQUK6xRnu9RKKBV', 'recdeF0OVKdQyWi6A', 'rec7ODxRYDHOrB0Xe', 'recxTk7FDTkIfukJG']","The surface called ""surface"" means the lower boundary of the atmosphere. ""Upward"" indicates a vector component which is positive when directed upward (negative downward). The surface latent heat flux is the exchange of heat between the surface and the air on account of evaporation (including sublimation). In accordance with common usage in geophysical disciplines, ""flux"" implies per unit area, called ""flux density"" in physics.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw07fE6z00nZDoN,chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mass_concentration_of_diazotrophic_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,171d617ceca8a4351f53d090c0ead89c,"CMIP5,C4MIP,HighResMIP,LS3MIP",1,Existing physical parameter,"['recGiRj4RpESimQd6', 'rec1QtBIO28KEdHnT']","Chlorophyll concentration from the diazotrophic phytoplankton component alone
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw0OFYVV8oaUvBe,snmsl,Water Flowing out of Snowpack,liquid_water_mass_flux_into_soil_due_to_surface_snow_melt,kg m-2 s-1,5914be8c-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [LS3MIP],1,Existing physical parameter,['recGbSF5jITrubZy3'],"Mass flow rate of water draining out of the snow pack.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw2rNYjB8kcRhKe,fNloss,"Total Nitrogen Lost (Including NHx, NOx, N2O, N2 and Leaching)",surface_upward_mass_flux_of_nitrogen_compounds_expressed_as_nitrogen_out_of_vegetation_and_litter_and_soil,kg m-2 s-1,591478be-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [C4MIP],1,Existing physical parameter,['recHWSHvVNtY4rlOR'],"Not all models split losses into gaseous and leaching
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw5gBDulQuBFZ9b,prsn2h,Precipitation Flux of Snow and Ice Containing Deuterium (1H 2H O),solid_precipitation_flux_containing_single_2H,kg m-2 s-1,5912fb88-9e49-11e5-803c-0d0b866b59f3,CMIP6 endorsement [PMIP],1,Existing physical parameter,['recGwq7sGI6Zg839t'],"Precipitation mass flux of water molecules that contain one atom of the hydrogen-2 isotope (1H 2H O), including solid phase only.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw7AZDIMs0OT6En,pso,Sea Water Pressure at Sea Water Surface,sea_water_pressure_at_sea_water_surface,Pa,d94709e6b579bccccccc914ba3531feb,OMIP.Omon,1,Existing physical parameter,['recz9weKlwM5K0B0X'],"The surface called ""surface"" means the lower boundary of the atmosphere.  ""Sea water pressure"" is the pressure that exists in the medium of sea water.  It includes the pressure due to overlying sea water, sea ice, air and any other medium that may be present.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recw8v4uOCWC4NCye,zmisc,Mole Concentration of Other Zooplankton Expressed as Carbon in Sea Water,mole_concentration_of_miscellaneous_zooplankton_expressed_as_carbon_in_sea_water,mol m-3,c9776970-c5f0-11e6-ac20-5404a60d96b5,CMIP6 Endorsement [OMIP],1,Existing physical parameter,"['recIAdIbQABCKIDfu', 'recAfkBbtTSVsgo9X']","carbon from additional zooplankton component concentrations alone (e.g. Micro, meso).  Since the models all have different numbers of components, this variable has been included to provide a check for intercomparison between models since some phytoplankton groups are supersets.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
recwBtxfy0gMV2V58,tntc,Tendency of Air Temperature Due to Convection,tendency_of_air_temperature_due_to_convection,K s-1,52f043533a691ca5721460e316c3a328,CFMIP,1,Existing physical parameter,"['recWh5HVLcvgdELrO', 'reclrq2RW5PjMGuBl', 'rec5Qyo18GQnfSdYj']","Tendencies from cumulus convection scheme.
",0 checked out of 1,2024-07-12T09:06:25.000Z,Data Request co-leads,,,,,,,,,,,,,,,,,,,
